"latitude";"longitude";"unixtime";"velocidad";"file_name"
41.911292;12.498080;12:01:46;33;262
41.904423;12.502047;12:01:46;0;303
41.910975;12.498826;12:01:46;17;367
41.917897;12.491655;12:01:46;0;75
41.899701;12.481069;12:01:47;0;294
41.903634;12.488655;12:01:47;0;85
41.919683;12.500635;12:01:47;0;88
41.903347;12.487410;12:01:48;11;126
41.904122;12.501949;12:01:48;15;141
41.907974;12.491890;12:01:48;0;237
41.886585;12.507921;12:01:48;0;31
41.901873;12.511965;12:01:48;0;339
41.897151;12.498070;12:01:49;1;113
41.904227;12.494323;12:01:49;0;242
41.911030;12.491213;12:01:49;43;301
41.905504;12.487956;12:01:49;18;48
41.902116;12.502723;12:01:49;0;84
41.899152;12.490023;12:01:50;1;119
41.891263;12.491023;12:01:50;0;186
41.910982;12.498370;12:01:50;0;194
41.906339;12.481685;12:01:50;0;253
41.901394;12.501232;12:01:51;0;110
41.910159;12.498445;12:01:51;0;171
41.902080;12.482601;12:01:51;23;200
41.917878;12.491579;12:01:52;1;138
41.901189;12.500909;12:01:52;0;182
41.908863;12.488714;12:01:52;27;24
41.902750;12.499804;12:01:52;0;287
41.919493;12.494926;12:01:52;0;3
41.88048;12.508531;12:01:52;0;363
41.907553;12.490587;12:01:53;2;349
41.907645;12.490327;12:01:53;0;81
41.901140;12.500973;12:01:54;0;106
41.903843;12.489094;12:01:54;0;131
41.910627;12.498147;12:01:54;15;262
41.907885;12.49165;12:01:54;1;320
41.906480;12.481796;12:01:55;0;107
41.894143;12.503748;12:01:55;28;169
41.901318;12.501065;12:01:55;0;246
41.902361;12.483975;12:01:55;3;256
41.900799;12.493434;12:01:55;27;261
41.904413;12.502070;12:01:55;2;303
41.903112;12.496096;12:01:56;1;100
41.903433;12.487689;12:01:56;20;126
41.899701;12.481069;12:01:56;3;294
41.908193;12.504622;12:01:56;15;330
41.911359;12.498544;12:01:56;21;367
41.886600;12.507935;12:01:57;0;31
41.901872;12.511966;12:01:57;0;339
41.917897;12.491655;12:01:57;0;75
